index	Year	Association	Category	Nominated work	Result
0	1991	Tony Awards	Best Actress in a Play	Our Country's Good	Nominated
1	1995	Drama Desk Awards	Outstanding Actress in a Play	The Heiress	Won
5	2004	GLAAD Media Awards	Vito Russo Award	Herself	Won
6	2005	Drama Desk Awards	Outstanding Actress in a Play	Doubt	Won
7	2005	Tony Awards	Best Actress in a Play	Doubt	Won
8	2006	Drama Desk Awards	Outstanding Actress in a Play	Faith Healer	Nominated
10	2009	Satellite Awards	Best Supporting Actress – Series, Miniseries or Television Film	24	Nominated
