index	Year	Competition	Venue	Position	Event	Notes
0	2003	World Youth Championships	Sherbrooke, Canada	7th	Hammer	54.43 m
5	2007	Pan American Games	Rio de Janeiro, Brazil	2nd	Hammer	68.70 m
6	2007	World Championships	Osaka, Japan	9th	Hammer	70.20 m
7	2008	Olympic Games	Beijing, China	15th (q)	Hammer	68.74 m
8	2009	ALBA Games	La Habana, Cuba	2nd	Hammer	68.89 m
9	2009	Central American and Caribbean Championships	Havana, Cuba	1st	Hammer	71.32 m
11	2011	Pan American Games	Guadalajara, Mexico	4th	Hammer	68.88 m
12	2012	Olympic Games	London, United Kingdom	23rd (q)	Hammer	67.93 m
